Final: Based on your request, here are the police agencies found in Kansas.

I found 413 police agencies in Kansas:

| Agency Name | Type | ORI |
|-------------|------|-----|
| Howard Police Department | City | KS0250100 |
| Elk County Sheriff's Office | County | KS0250000 |
| Clay Center Police Department | City | KS0140100 |
| Wakefield Police Department | City | KS0140200 |
| Clay County Sheriff's Office | County | KS0140000 |
| Kansas Racing and Gaming Commission: Boothill Casino | Other State Agency | KS0290500 |
| Ford County Sheriff's Office | County | KS0290000 |
| Dodge City Police Department | City | KS0290100 |
| Bucklin Police Department | City | KS0290200 |
| Spearville Police Department | City | KS0290300 |
| Gove County Sheriff's Office | County | KS0320000 |
| Quinter Police Department | City | KS0320100 |
| Montezuma Police Department | City | KS0350300 |
| Gray County Sheriff's Office | County | KS0350000 |
| Lane County Sheriff's Office | County | KS0510000 |
| Linn Valley Police Department | City | KS0540500 |
| Linn County Sheriff's Office | County | KS0540000 |
| Mound City Police Department | City | KS0540100 |
| Pleasanton Police Department | City | KS0540200 |
| La Cygne Police Department | City | KS0540300 |
| Emporia Police Department | City | KS0560100 |
| Americus Police Department | City | KS0560300 |
| Lyon County Sheriff's Office | County | KS0560000 |
| Emporia State University | University or College | KS0560200 |
| Ness County Sheriff's Office | County | KS0680000 |
| Unified School District: Nickerson/South Hutchinson | Other | KS0781100 |
| Reno County Sheriff's Office | County | KS0780000 |
| Hutchinson Police Department | City | KS0780100 |
| South Hutchinson Police Department | City | KS0780200 |
| Haven Police Department | City | KS0780300 |
| Buhler Police Department | City | KS0780600 |
| Reno County Drug Enforcement Unit | Other | KS0780900 |
| Geneseo Police Department | City | KS0800400 |
| Chase Police Department | City | KS0800600 |
| Little River Police Department | City | KS0800500 |
| Bushton Police Department | City | KS0800300 |
| Sterling Police Department | City | KS0800200 |
| Lyons Police Department | City | KS0800100 |
| Rice County Sheriff's Office | County | KS0800000 |
| Rush County Sheriff's Office | County | KS0830000 |
| Humboldt Police Department | City | KS0010100 |
| Moran Police Department | City | KS0010300 |
| Iola Police Department | City | KS0010200 |
| La Harpe Police Department | City | KS0010400 |
| Allen County Sheriff's Office | County | KS0010000 |
| Hiawatha Police Department | City | KS0070100 |
| Horton Police Department | City | KS0070200 |
| Brown County Sheriff's Office | County | KS0070000 |
| Chase County Sheriff's Office | County | KS0090000 |
| Clark County Sheriff's Office | County | KS0130000 |
| Concordia Police Department | City | KS0150100 |
| Cloud County Sheriff's Office | County | KS0150000 |
| Hays Police Department | City | KS0260100 |
| Ellis Police Department | City | KS0260200 |
| Victoria Police Department | City | KS0260300 |
| Fort Hays State University | University or College | KS0260400 |
| Ellis County Sheriff's Office | County | KS0260000 |
| Geary County Sheriff's Office | County | KS0310000 |
| Grandview Plaza Police Department | City | KS0310200 |
| Junction City Police Department | City | KS0310100 |
| Ulysses Police Department | City | KS0340100 |
| Grant County Sheriff's Office | County | KS0340000 |
| Greensburg Police Department | City | KS0490200 |
| Kiowa County Sheriff's Office | County | KS0490000 |
| Logan County Sheriff's Office | County | KS0550000 |
| Meade Police Department | City | KS0600100 |
| Meade County Sheriff's Office | County | KS0600000 |
| Paola Police Department | City | KS0610100 |
| Miami County Sheriff's Office | County | KS0610000 |
| Louisburg Police Department | City | KS0610300 |
| Osawatomie Police Department | City | KS0610200 |
| Osage City Police Department | City | KS0700100 |
| Melvern Police Department | City | KS0700800 |
| Scranton Police Department | City | KS0700600 |
| Overbrook Police Department | City | KS0700500 |
| Lyndon Police Department | City | KS0700400 |
| Carbondale Police Department | City | KS0700300 |
| Burlingame Police Department | City | KS0700200 |
| Osage County Sheriff's Office | County | KS0700000 |
| Pratt Police Department | City | KS0760100 |
| Pratt County Sheriff's Office | County | KS0760000 |
| Kansas Department of Wildlife and Parks | Other State Agency | KS0760200 |
| Riley County Police Department | County | KS0810000 |
| Kansas State University | University or College | KS0810200 |
| Rooks County Sheriff's Office | County | KS0820000 |
| Plainville Police Department | City | KS0820100 |
| Scott County Sheriff's Office | County | KS0860000 |
| Scott City Police Department | City | KS0860100 |
| Smith Center Police Department | City | KS0920100 |
| Smith County Sheriff's Office | County | KS0920000 |
| Trego County Sheriff's Office | County | KS0980000 |
| WaKeeney Police Department | City | KS0980100 |
| Medicine Lodge Police Department | City | KS0040200 |
| Barber County Sheriff's Office | County | KS0040000 |
| Kiowa Police Department | City | KS0040100 |
| Barton County Sheriff's Office | County | KS0050000 |
| Ellinwood Police Department | City | KS0050100 |
| Great Bend Police Department | City | KS0050200 |
| Hoisington Police Department | City | KS0050300 |
| Claflin Police Department | City | KS0050400 |
| Butler Community College | University or College | KS0081200 |
| Butler County Sheriff's Office | County | KS0080000 |
| Augusta Police Department | City | KS0080100 |
| El Dorado Police Department | City | KS0080200 |
| Andover Police Department | City | KS0080500 |
| Rose Hill Police Department | City | KS0080600 |
| Leon Police Department | City | KS0080700 |
| Benton Police Department | City | KS0080800 |
| Unified School District: Bluestem | Other | KS0081000 |
| El Dorado School District | Other | KS0081300 |
| Le Roy Police Department | City | KS0160500 |
| Coffey County Sheriff's Office | County | KS0160000 |
| Burlington Police Department | City | KS0160100 |
| Lebo Police Department | City | KS0160300 |
| Waverly Police Department | City | KS0160400 |
| Burden Police Department | City | KS0180300 |
| Udall Police Department | City | KS0180400 |
| Cowley County Sheriff's Office | County | KS0180000 |
| Arkansas City Police Department | City | KS0180100 |
| Winfield Police Department | City | KS0180200 |
| Garden City Police Department | City | KS0280100 |
| Holcomb Police Department | City | KS0280200 |
| Garden City Community College | University or College | KS0280300 |
| Finney County Sheriff's Office | County | KS0280000 |
| Graham County Sheriff's Office | County | KS0330000 |
| Hill City Police Department | City | KS0330100 |
| Anthony Police Department | City | KS0390100 |
| Attica Police Department | City | KS0390200 |
| Harper County Sheriff's Office | County | KS0390000 |
| Halstead Police Department | City | KS0400300 |
| Harvey County Sheriff's Office | County | KS0400000 |
| Newton Police Department | City | KS0400100 |
| Hesston Police Department | City | KS0400200 |
| Burrton Police Department | City | KS0400500 |
| North Newton Police Department | City | KS0400600 |
| Walton Police Department | City | KS0400700 |
| Jewell County Sheriff's Office | County | KS0450000 |
| Kearny County Sheriff's Office | County | KS0470000 |
| Goessel Police Department | City | KS0580500 |
| Burns Police Department | City | KS0580600 |
| Marion County Sheriff's Office | County | KS0580000 |
| Hillsboro Police Department | City | KS0580100 |
| Marion Police Department | City | KS0580200 |
| Peabody Police Department | City | KS0580300 |
| Florence Police Department | City | KS0580400 |
| Morris County Sheriff's Office | County | KS0640000 |
| Council Grove Police Department | City | KS0640100 |
| Elkhart Police Department | City | KS0650100 |
| Morton County Sheriff's Office | County | KS0650000 |
| Seneca Police Department | City | KS0660200 |
| Nemaha County Sheriff's Office | County | KS0660000 |
| Chanute Police Department | City | KS0670100 |
| Erie Police Department | City | KS0670200 |
| Neosho County Sheriff's Office | County | KS0670000 |
| Norton County Sheriff's Office | County | KS0690000 |
| Norton Police Department | City | KS0690100 |
| Minneapolis Police Department | City | KS0720200 |
| Delphos Police Department | City | KS0720100 |
| Ottawa County Sheriff's Office | County | KS0720000 |
| Pawnee County Sheriff's Office | County | KS0730000 |
| Larned Police Department | City | KS0730100 |
| Salina Police Department | City | KS0850100 |
| Assaria Police Department | City | KS0850200 |
| Saline County Sheriff's Office | County | KS0850000 |
| Liberal Police Department | City | KS0880100 |
| Seward County Sheriff's Office | County | KS0880000 |
| Belle Plaine Police Department | City | KS0960200 |
| Caldwell Police Department | City | KS0960400 |
| Conway Springs Police Department | City | KS0960500 |
| Oxford Police Department | City | KS0960600 |
| Kansas Racing and Gaming Commission Law Enforcement | Other State Agency | KS0961100 |
| Argonia Police Department | City | KS0960700 |
| Sumner County Sheriff's Office | County | KS0960000 |
| Wellington Police Department | City | KS0960100 |
| Thomas County Sheriff's Office | County | KS0970000 |
| Colby Police Department | City | KS0970100 |
| Neodesha Police Department | City | KS1030200 |
| Fredonia Police Department | City | KS1030100 |
| Wilson County Sheriff's Office | County | KS1030000 |
| Bourbon County Sheriff's Office | County | KS0060000 |
| Fort Scott Police Department | City | KS0060100 |
| Oberlin Police Department | City | KS0200100 |
| Decatur County Sheriff's Office | County | KS0200000 |
| Lawrence Police Department | City | KS0230100 |
| University of Kansas: Main Campus | University or College | KS0230200 |
| Baldwin City Police Department | City | KS0230300 |
| Eudora Police Department | City | KS0230400 |
| Douglas County Sheriff's Office | County | KS0230000 |
| Edwards County Sheriff's Office | County | KS0240000 |
| Greeley County Sheriff's Office | County | KS0360000 |
| Haskell County Sheriff's Office | County | KS0410000 |
| Hoyt  Police Department | City | KS0430200 |
| Mayetta Police Department | City | KS0430400 |
| Holton Police Department | City | KS0430100 |
| Jackson County Sheriff's Office | County | KS0430000 |
| Lenexa Police Department | City | KS0461000 |
| Johnson County Sheriff's Office | County | KS0460000 |
| Fairway Police Department | City | KS0460100 |
| Leawood Police Department | City | KS0460200 |
| Merriam Police Department | City | KS0460300 |
| Mission Police Department | City | KS0460400 |
| Olathe Police Department | City | KS0460500 |
| Overland Park Police Department | City | KS0460600 |
| Prairie Village Police Department | City | KS0460700 |
| Roeland Park Police Department | City | KS0460800 |
| Shawnee Police Department | City | KS0460900 |
| Westwood Police Department | City | KS0461100 |
| Gardner Police Department | City | KS0461200 |
| Mission Hills Police Department | City | KS0461300 |
| Johnson County Park | Other | KS0462000 |
| Mission Woods Police Department | City | KS0462200 |
| Westwood Hills Police Department | City | KS0462300 |
| Shawnee Mission Public Schools | Other | KS0462500 |
| Blue Valley School District | Other | KS0462600 |
| Johnson County Community College | University or College | KS0462700 |
| Kingman County Sheriff's Office | County | KS0480000 |
| Kingman Police Department | City | KS0480100 |
| Oswego Police Department | City | KS0500200 |
| Chetopa Police Department | City | KS0500300 |
| Altamont Police Department | City | KS0500400 |
| Labette County Sheriff's Office | County | KS0500000 |
| Parsons Police Department | City | KS0500100 |
| Lincoln County Sheriff's Office | County | KS0530000 |
| Osborne County Sheriff's Office | County | KS0710000 |
